Sample,Family ,Biomass,Common_name,SL (lab),FL (lab),Collection Date,Proccess Date,Slope_NH3,Yintercept_NH3,ABS_A_NH3,ABS_B_NH3,Conc_A_NH3,Conc_B_NH3,Conc_Diff_NH3,Slope_PO3,Yintercept_PO3,ABS_A_PO3,ABS_B_PO3,Conc_A_PO3,Conc_B_PO3,Conc_Diff_PO3
183,Sciaenidae,7.539,Northern Kingfish,76,115,20180917,20190629,147.49,-0.2814,0.031,0.151,4.291,21.99,17.699,118.23,-0.353,0.008,0.01,0.593,0.83,0.236
75,Scombridae,1.587,Atlantic Mackerel,50,55,20180717,20190807,134.94,3.8926,-0.031,-0.003,-0.291,3.488,3.778,120.83,-0.261,0.003,0.008,0.101,0.705,0.604
100,Serranidae,1.509,Black Seabass,40,49,20180809,20190630,149.56,1.4461,-0.009,0.005,0.1,2.194,2.094,114.33,0.257,0.003,0.008,0.6,1.171,0.572
103,Serranidae,1.85,Black Seabass,45,52,20180809,20190630,149.56,1.4461,0,0.025,1.446,5.185,3.739,114.33,0.257,0.003,0.005,0.6,0.828,0.229
106,Serranidae,0.737,Black Seabass,31,39,20180809,20190709,132,-0.6718,0.033,0.035,3.684,3.948,0.264,103.72,-0.017,0.003,0.011,0.295,1.124,0.83
111,Serranidae,1.343,Black Seabass,38,46,20180809,20190709,132,-0.6718,0.058,0.146,6.918,18.6,11.682,103.72,-0.017,0.004,0.008,0.398,0.761,0.363
140,Serranidae,0.21,Black Seabass,38,43,20180816,20190612,138.13,-1.5337,0.033,0.106,3.025,13.108,10.083,119.51,-0.119,0.002,0.009,0.12,0.957,0.837
154,Serranidae,1.88,Black Seabass,44,53,20180821,20190708,141.4,1.2027,-0.003,0.046,0.779,7.707,6.929,115.9,-0.741,0.001,0.004,-0.625,-0.278,0.348
159,Serranidae,4.58,Black Seabass,57,70,20180821,20190708,141.4,1.2027,0.017,0.171,3.607,25.382,21.776,115.9,-0.741,0.001,0.002,-0.625,-0.509,0.116
167,Serranidae,1.373,Black Seabass,54,67,20180822,20190624,128.73,0.0495,0.005,0.032,0.693,4.169,3.476,114.86,-0.077,0.013,0.014,1.455,1.531,0.077
169,Serranidae,2.914,Black Seabass,79,94,20180822,20190808,131.29,2.8105,0,0.026,2.811,6.224,3.414,114.86,-0.077,0.006,0.011,0.612,1.129,0.517
171,Serranidae,1.427,Black Seabass,73,90,20180822,20190624,128.73,0.0495,0.008,0.027,1.079,3.525,2.446,114.86,-0.077,0.008,0.012,0.842,1.301,0.459
174,Serranidae,0.95,Black Seabass,36,44,20180823,20190708,141.4,1.2027,-0.004,0.006,0.637,2.051,1.414,115.9,-0.741,0.011,0.032,0.534,2.968,2.434
187,Serranidae,4.422,Black Seabass,56,69,20180917,20190629,147.49,-0.2814,0.001,0.059,-0.134,8.347,8.481,118.23,-0.353,0.006,0.006,0.357,0.357,0
189,Serranidae,4.024,Black Seabass,58,69,20180919,20190629,147.49,-0.2814,0.001,0.007,-0.134,0.751,0.885,118.23,-0.353,0.004,0.006,0.12,0.357,0.236
191,Serranidae,6.647,Black Seabass,62,77,20180919,20190623,125.13,-2.3739,0.001,0.05,-2.249,3.924,6.173,122.38,0.731,,0.005,0.731,1.343,0.612
85,Sparidae,0.404,Scup,26,30,20180717,20190807,134.94,3.8926,-0.021,0.02,1.059,6.591,5.533,120.83,-0.261,0.003,0.006,0.101,0.464,0.362
93,Sparidae,3.092,Scup,48,55,20180809,20190630,149.56,1.4461,0.029,0.048,5.783,8.625,2.842,114.33,0.257,0.001,0.006,0.371,0.943,0.572
94,Sparidae,3.91,Scup,50,59,20180809,20190630,149.56,1.4461,0.035,0.057,6.681,9.971,3.29,114.33,0.257,0.005,0.011,0.828,1.514,0.686
101,Sparidae,1.876,Scup,42,47,20180809,20190630,149.56,1.4461,-0.007,-0.006,0.399,0.549,0.15,114.33,0.257,0.002,0.004,0.485,0.714,0.229
104,Sparidae,3.751,Scup,53,60,20180809,20190630,149.56,1.4461,0.019,0.065,4.288,11.168,6.88,114.33,0.257,0.002,0.003,0.485,0.6,0.114
107,Sparidae,1.911,Scup,42,47,20180809,20190709,132,-0.6718,0.047,0.061,5.532,7.38,1.848,103.72,-0.017,0.004,0.008,0.398,0.813,0.415
125,Sparidae,1.073,Scup,34,44,20180816,20190630,149.56,1.4461,0.016,0.018,3.839,4.138,0.299,114.33,0.257,-0.005,-0.003,-0.315,-0.086,0.229
132,Sparidae,1.91,Scup,33,40,20180816,20190612,138.13,-1.5337,0.048,0.307,5.097,40.872,35.776,119.51,-0.119,0.001,0.002,0.001,0.12,0.12
141,Sparidae,0.77,Scup,40,48,20180816,20190612,138.13,-1.5337,0.075,0.093,8.826,11.312,2.486,119.51,-0.119,0.001,0.018,0.001,2.032,2.032
175,Sparidae,30.42,Scup,194,113,20180917,20190629,147.49,-0.2814,0.05,0.41,7.093,60.19,53.096,118.23,-0.353,0.003,0.013,0.002,1.184,1.182
21,Syngnathidae,1.897,Northern Pipefish,163,169,20180711,20190726,132.11,1.6326,-0.03,0.143,-2.331,20.524,22.855,114.02,-0.327,0.004,0.007,0.129,0.471,0.342
59,Syngnathidae,4.627,Northern Pipefish,209,216,20180713,20190804,134.19,-0.2751,0,0.04,-0.275,5.093,5.368,110.53,-0.326,0.004,0.004,0.117,0.117,0
83,Syngnathidae,1.645,Northern Pipefish,137,144,20180717,20190807,134.94,3.8926,-0.023,0.009,0.789,5.107,4.318,120.83,-0.261,0,0.002,-0.261,-0.02,0.242
114,Syngnathidae,0.611,Northern Pipefish,112,115,20180809,20190709,132,-0.6718,0.056,0.087,6.72,10.812,4.092,103.72,-0.017,0.007,0.008,0.709,0.813,0.104
158,Syngnathidae,0.6,Northern Pipefish,115,120,20180821,20190708,141.4,1.2027,0,0.003,1.203,1.627,0.424,115.9,-0.741,0.004,0.032,-0.278,2.968,3.245
112,Synodontidae,4.282,Inshore Lizardfish,77,82,20180809,20190709,132,-0.6718,0.022,0.08,2.232,9.888,7.656,103.72,-0.017,0.007,0.008,0.709,0.813,0.104
117,Synodontidae,1.657,Inshore Lizardfish,59,64,20180809,20190709,132,-0.6718,0.023,0.06,2.364,7.248,4.884,103.72,-0.017,0.001,0.008,0.087,0.813,0.726
148,Synodontidae,5.34,Inshore Lizardfish,83,89,20180821,20190624,128.73,0.0495,0.015,0.044,1.98,5.714,3.733,114.86,-0.077,0.004,0.005,0.383,0.497,0.115
153,Synodontidae,2.02,Inshore Lizardfish,59,65,20180821,20190808,131.29,2.8105,0.013,0.039,4.517,7.931,3.414,114.86,-0.077,0.003,0.01,0.306,1.072,0.766
156,Synodontidae,7.26,Inshore Lizardfish,92,98,20180821,20190708,141.4,1.2027,0.004,0.043,1.768,7.283,5.515,115.9,-0.741,0.004,0.006,-0.278,-0.046,0.232
190,Synodontidae,36.818,Inshore Lizardfish,159,172,20180919,20190623,125.13,-2.3739,0.001,0.353,-2.249,41.839,44.087,122.38,0.731,,0.002,0.731,0.976,0.245
23,Tetraodontidae,0.153,Northern Puffer,15,19,20180711,20190726,132.11,1.6326,0.016,0.028,3.746,5.332,1.585,114.02,-0.327,0.004,0.004,0.129,0.129,0
90,Tetraodontidae,2.353,Northern Puffer,37,45,20180717,20190807,134.94,3.8926,-0.044,0.015,-1.977,5.917,7.894,120.83,-0.261,0.003,0.079,0.101,9.284,9.183
91,Tetraodontidae,1.208,Northern Puffer,30,36,20180717,20190807,134.94,3.8926,-0.026,0.037,0.384,8.885,8.501,120.83,-0.261,0.003,0.005,0.101,0.343,0.242
92,Tetraodontidae,1.506,Northern Puffer,32,39,20180717,20190807,134.94,3.8926,-0.003,0.006,3.488,4.702,1.214,120.83,-0.261,0,0.003,-0.261,0.101,0.362
95,Tetraodontidae,8.851,Northern Puffer,60,74,20180809,20190630,149.56,1.4461,0.022,0.049,4.736,8.775,4.038,114.33,0.257,0.001,0.006,0.371,0.943,0.572
97,Tetraodontidae,6.471,Northern Puffer,57,64,20180809,20190630,149.56,1.4461,0.008,0.062,2.643,10.719,8.076,114.33,0.257,0.004,0.008,0.714,1.171,0.457
102,Tetraodontidae,8.524,Northern Puffer,59,72,20180809,20190630,149.56,1.4461,0.045,0.063,8.176,10.868,2.692,114.33,0.257,0.005,0.01,0.828,1.4,0.572
110,Tetraodontidae,2.248,Northern Puffer,38,46,20180809,20190709,132,-0.6718,0.061,0.082,7.38,10.152,2.772,103.72,-0.017,0.004,0.005,0.398,0.502,0.104
142,Tetraodontidae,29.15,Northern Puffer,90,110,20180821,20190708,141.4,1.2027,0.044,0.112,7.424,17.04,9.615,115.9,-0.741,0.006,0.01,-0.046,0.418,0.464
157,Tetraodontidae,1.42,Northern Puffer,32,39,20180821,20190708,141.4,1.2027,0.005,0.025,1.91,4.738,2.828,115.9,-0.741,0.003,0.009,-0.394,0.302,0.695
133,Triglidae,5.36,Striped Searobin,19,24,20180816,20190612,138.13,-1.5337,0.043,0.302,4.406,40.182,35.776,119.51,-0.119,0.004,0.009,0.359,0.957,0.598
149,Triglidae,1.04,Striped Searobin,37,47,20180821,20190624,128.73,0.0495,-0.009,0.037,-1.109,4.813,5.922,114.86,-0.077,0.006,0.007,0.612,0.727,0.115
150,Triglidae,2.29,Striped Searobin,46,58,20180821,20190808,131.29,2.8105,0.001,0.023,2.942,5.83,2.888,114.86,-0.077,0.008,0.008,0.842,0.842,0
151,Triglidae,0.72,Striped Searobin,32,39,20180821,20190624,128.73,0.0495,0.007,0.029,0.951,3.783,2.832,114.86,-0.077,0.006,0.009,0.612,0.899,0.287
152,Triglidae,0.43,Striped Searobin,26,31,20180821,20190624,128.73,0.0495,0.001,0.019,0.178,2.495,2.317,114.86,-0.077,0.005,0.006,0.536,0.651,0.115
172,Triglidae,1.7,Striped Searobin,45,57,20180823,20190708,141.4,1.2027,0.01,0.013,2.617,3.041,0.424,115.9,-0.741,0.007,0.008,0.07,0.186,0.116
177,Triglidae,5.863,Striped Searobin,65,83,20180917,20190629,147.49,-0.2814,0.003,0.083,0.161,11.96,11.799,118.23,-0.353,-0.001,0.003,-0.471,0.002,0.473
203,Triglidae,7.779,Striped Searobin,73,94,20181015,20190623,125.13,-2.3739,0.081,0.127,7.72,13.518,5.798,122.38,0.731,-0.007,-0.005,-0.085,0.079,0.163
